slope_ET,slope_Q,slope_Sed,model
-1.228970858,-0.14231671,-0.003401112,CNRM_CM5_RCP45
0.149451996,0.002880411,0.000160739,CNRM_CM5_RCP45
-0.443288428,0.004139904,3.02E-05,CNRM_CM5_RCP45
-0.337212802,0.000742386,2.85E-07,CNRM_CM5_RCP45
-0.406433436,0.022163562,6.40E-05,CNRM_CM5_RCP45
-0.700748412,0.017291765,6.57E-05,CNRM_CM5_RCP45
-0.773611147,-0.050723865,-0.000427471,CNRM_CM5_RCP45
-0.808090865,-0.157699145,0.000449391,CNRM_CM5_RCP45
-0.986815821,-0.158932737,0.000904087,CNRM_CM5_RCP45
-2.120331837,0.002064714,1.60E-05,CNRM_CM5_RCP45
0.052331423,-0.017593962,1.39E-05,CNRM_CM5_RCP45
0.039041631,-0.023519751,-0.000320466,CNRM_CM5_RCP45
-0.791609347,0.01192481,1.50E-05,CNRM_CM5_RCP45
-0.471187405,-0.05266548,-0.000400201,CNRM_CM5_RCP45
-0.748139194,0.002292392,3.29E-05,CNRM_CM5_RCP45
-1.029118946,-0.162450548,-0.000108872,CNRM_CM5_RCP45
-0.362296143,-0.048280037,-0.000594449,CNRM_CM5_RCP45
-0.17801965,-0.001870477,-3.16E-05,CNRM_CM5_RCP45
1.105086371,0.016794734,0.0001268,CNRM_CM5_RCP45
1.688333413,0.007049463,3.99E-06,CNRM_CM5_RCP45
-2.812490122,-0.000528047,3.24E-07,CNRM_CM5_RCP45
1.478684498,0.012220326,6.47E-05,CNRM_CM5_RCP45
0.286559347,0.005665368,5.08E-05,CNRM_CM5_RCP45
0.504411443,0.005592923,-4.91E-05,CNRM_CM5_RCP45
0.090321333,0.003707821,-4.89E-05,CNRM_CM5_RCP45
2.720348105,0.000668722,1.17E-05,CNRM_CM5_RCP45
-2.523546903,0.015718851,7.47E-05,CNRM_CM5_RCP45
-0.379638512,-0.050364652,-0.002643286,CNRM_CM5_RCP45
-0.564687701,-0.085876319,-0.00097689,CNRM_CM5_RCP45
-0.185466346,-0.055100833,0.000809308,CNRM_CM5_RCP45
-0.313951157,0.005146338,0.000121092,CNRM_CM5_RCP45
-0.404319656,0.007017498,-5.72E-05,CNRM_CM5_RCP45
1.348730607,0.000608117,3.97E-07,CNRM_CM5_RCP45
1.720249978,0.005887265,-2.66E-06,CNRM_CM5_RCP45
-1.413679858,0.022343532,0.000647468,CNRM_CM5_RCP45
-0.465567537,0.080184593,0.000278997,CNRM_CM5_RCP45
-0.317277734,-0.049038758,0.000555831,CNRM_CM5_RCP45
0.037395405,-0.040170097,2.30E-05,CNRM_CM5_RCP45
-0.614159487,-0.067795584,4.58E-05,CNRM_CM5_RCP45
1.063073239,0.000834213,0,CNRM_CM5_RCP45
-0.217565949,0.002848429,3.13E-05,CNRM_CM5_RCP45
-0.215940603,0.011124911,2.22E-05,CNRM_CM5_RCP45
1.135332603,0.004910353,8.21E-06,CNRM_CM5_RCP45
0.666222496,0.000692218,1.23E-07,CNRM_CM5_RCP45
-0.18350999,0.008319807,8.16E-05,CNRM_CM5_RCP45
-0.576617442,0.004978086,1.32E-05,CNRM_CM5_RCP45
-0.143763333,0.007085588,1.32E-05,CNRM_CM5_RCP45
3.309912925,0.023295572,1.64E-05,CNRM_CM5_RCP45
0.524358413,0.010720382,8.96E-06,CNRM_CM5_RCP45
0.867006608,0.08057865,0.000254064,CNRM_CM5_RCP45
