wet_area,peak_flow_red,sed_red,nit_red,habitat_id,model
861.2,187.2,10.69,13.04,298952,run1-noGAP
793.1,186.5,10.7,12.96,300824,run1-noGAP
851.1,186.5,10.69,13.03,302398,run1-noGAP
988.4,186.2,10.68,13.11,308497,run1-noGAP
968.5,186,10.69,13.1,302246,run1-noGAP
904.4,185.6,10.69,13.04,301790,run1-noGAP
757.2,185.2,10.65,12.99,289920,run1-noGAP
953.1,184.3,10.67,13.09,300794,run1-noGAP
921.3,184.3,10.65,13.06,300758,run1-noGAP
676.2,184,10.67,12.95,302432,run1-noGAP
638.6,184,10.64,12.87,292769,run1-noGAP
937.7,183.7,10.63,13.14,308389,run1-noGAP
923.8,183.4,10.69,13.14,307171,run1-noGAP
662.9,183.1,10.74,12.89,302246,run1-noGAP
737.7,182.9,10.83,12.86,307809,run1-noGAP
782.3,182.7,10.68,12.94,300316,run1-noGAP
688,182.3,10.59,13.05,307809,run1-noGAP
622.4,182,10.63,12.85,299397,run1-noGAP
867.1,181.6,10.62,13.13,308455,run1-noGAP
859,181.4,10.82,12.89,308479,run1-noGAP
870.5,181.3,10.63,13.05,302398,run1-noGAP
704.6,181,10.73,12.96,308389,run1-noGAP
568.6,180.6,10.45,12.75,301824,run1-noGAP
716.7,180.5,10.77,12.9,302432,run1-noGAP
839.1,180.2,10.87,12.78,308507,run1-noGAP
561.5,179.9,10.5,12.65,301866,run1-noGAP
693.5,179.8,10.8,12.8,302198,run1-noGAP
830.3,179.2,10.85,12.77,308557,run1-noGAP
808.4,178.7,10.86,12.73,308425,run1-noGAP
588.7,178.5,10.72,12.77,292429,run1-noGAP
604.8,178.3,10.52,13.01,299030,run1-noGAP
613.7,177.5,10.52,13.01,307949,run1-noGAP
497.3,177.1,10.4,12.79,301812,run1-noGAP
607.2,176.5,10.53,12.91,299129,run1-noGAP
581,176.2,10.43,12.93,299647,run1-noGAP
493,175.7,10.58,12.82,300352,run1-noGAP
521.1,175.4,10.69,12.81,300390,run1-noGAP
519.8,175.2,10.73,12.73,302110,run1-noGAP
483.5,174.5,10.58,12.76,300322,run1-noGAP
539.4,174.5,10.43,12.94,301987,run1-noGAP
418.6,174,10.41,12.7,308445,run1-noGAP
391.5,173.8,10.41,12.69,302168,run1-noGAP
507.6,173.7,10.64,12.62,302398,run1-noGAP
405.4,173.7,10.42,12.67,302212,run1-noGAP
448.3,172.9,10.61,12.53,302118,run1-noGAP
447.8,172.8,10.61,12.53,302168,run1-noGAP
423.8,172.5,10.51,12.63,302464,run1-noGAP
358.1,172.2,10.42,12.62,298805,run1-noGAP
459,171.8,10.61,12.67,302128,run1-noGAP
354.9,171.8,10.35,12.65,307012,run1-noGAP
342.7,171.3,10.48,12.61,298464,run1-noGAP
331.1,170.9,10.3,12.57,308807,run1-noGAP
328.4,170.5,10.3,12.57,276579,run1-noGAP
323.5,170.2,10.34,12.71,301987,run1-noGAP
322.6,169.9,10.29,12.55,300286,run1-noGAP
323.1,169.8,10.25,12.57,302205,run1-noGAP
349.1,169,10.49,12.68,307809,run1-noGAP
314.4,168.9,10.36,12.6,305552,run1-noGAP
357.8,168.5,10.52,12.58,308425,run1-noGAP
308.9,168.2,9.92,12.01,301987,run1-noGAP
304.5,167.8,9.97,12.03,308429,run1-noGAP
303.9,167.7,9.93,12,302074,run1-noGAP
299.8,167,10.17,12.48,308425,run1-noGAP
311.4,166.9,10.21,12.27,308411,run1-noGAP
299.7,166.8,10.18,12.43,307875,run1-noGAP
297.2,166.1,10.15,12.35,300342,run1-noGAP
289.9,165.7,10.17,12.43,302234,run1-noGAP
277.4,165.3,10.08,11.96,302368,run1-noGAP
275.2,164.9,9.99,11.96,302110,run1-noGAP
304.7,164.7,10.27,12.46,308844,run1-noGAP
274.4,164.1,10.38,12.33,292345,run1-noGAP
274.3,164,10.23,12.3,301928,run1-noGAP
270,163.7,10.11,12.21,301812,run1-noGAP
268,163.4,10.12,12.36,308479,run1-noGAP
263.5,163.3,10.23,12.27,300286,run1-noGAP
255.8,162.5,10.15,12.23,307949,run1-noGAP
252.7,162.5,10.03,11.87,300390,run1-noGAP
254.7,162.1,10.1,12.08,302246,run1-noGAP
248.7,162,10.01,11.87,301824,run1-noGAP
250.5,161.5,10.09,12.06,308429,run1-noGAP
245.8,160.9,9.82,11.82,307949,run1-noGAP
238.5,160.8,9.96,11.79,308383,run1-noGAP
246.9,160.7,10.06,12.23,302120,run1-noGAP
242.8,160.1,9.95,12.12,300266,run1-noGAP
231.9,160,9.89,11.74,308383,run1-noGAP
240.6,159.9,9.98,12.15,308429,run1-noGAP
230.8,159.4,9.87,11.9,301826,run1-noGAP
227.7,159.2,9.8,11.85,308867,run1-noGAP
227.4,159.1,9.77,11.77,302442,run1-noGAP
224.9,158.7,9.7,11.71,300322,run1-noGAP
227.4,158.5,9.74,11.76,308425,run1-noGAP
224.2,158.4,9.81,11.52,308383,run1-noGAP
225.7,158.3,9.86,11.83,299129,run1-noGAP
222.7,158.3,9.83,11.55,308445,run1-noGAP
216.2,157.8,9.71,11.72,301826,run1-noGAP
214.2,157.4,9.81,11.52,308383,run1-noGAP
212.2,157.3,9.68,11.69,301826,run1-noGAP
208.3,156.5,9.67,11.66,306851,run1-noGAP
205.8,156.3,9.7,11.63,308429,run1-noGAP
206.5,156.2,9.7,11.63,302120,run1-noGAP
836.15,175.8,10.78,12.8,307363,run1-wGAP
537.3,173.2,10.12,11.96,307363,run1-wGAP
438.34,172.7,10.12,12.05,307363,run1-wGAP
286.24,160.4,9.53,11.8,307363,run1-wGAP
248.64,157.5,9.62,11.62,307363,run1-wGAP
975.68,179.1,10.74,12.96,307299,run1-wGAP
616.9,176.6,10.86,12.71,307299,run1-wGAP
331.58,165.9,10.26,12.42,307299,run1-wGAP
785.38,187.7,10.67,13.06,307207,run1-wGAP
757.91,182.1,10.65,13.12,307207,run1-wGAP
866.69,178.3,10.77,12.9,307207,run1-wGAP
894.73,177.6,10.71,12.94,307207,run1-wGAP
283.85,160.1,9.5,11.77,307207,run1-wGAP
243.02,156.6,9.58,11.6,307185,run1-wGAP
294.32,162.5,9.77,11.74,307137,run1-wGAP
250.64,156.5,9.73,11.35,307137,run1-wGAP
251.92,155.3,9.81,11.92,306799,run1-wGAP
332.84,164.8,10.19,12.44,306773,run1-wGAP
320.05,166.4,9.94,11.97,306697,run1-wGAP
273.23,159.6,9.85,12.19,306697,run1-wGAP
945.33,178.3,10.7,12.93,306412,run1-wGAP
340.82,166.7,9.87,11.76,306412,run1-wGAP
240.34,155,9.66,11.52,306412,run1-wGAP
764.14,187,10.65,13.05,306214,run1-wGAP
697.61,185.8,10.6,12.99,306214,run1-wGAP
752.85,184,10.65,13.1,306214,run1-wGAP
410.59,166,10.21,12.23,306214,run1-wGAP
743.19,179.1,10.83,12.75,305800,run1-wGAP
553.98,178,10.51,12.81,305800,run1-wGAP
346.08,164,10.29,12.56,305760,run1-wGAP
257.98,156.4,9.78,11.63,305468,run1-wGAP
412.99,172.4,10.54,12.6,305327,run1-wGAP
400.58,171.7,10.07,12.37,305304,run1-wGAP
314.02,163.3,10.12,12.24,304998,run1-wGAP
713.76,180.8,10.76,12.83,304912,run1-wGAP
794.51,184.6,10.69,13.03,304771,run1-wGAP
691.85,178.8,10.79,12.73,304322,run1-wGAP
958.22,178,10.73,12.94,304322,run1-wGAP
302.47,163,9.93,12.16,304140,run1-wGAP
284.01,161.1,9.69,11.69,304140,run1-wGAP
678.35,184.4,10.61,12.95,303977,run1-wGAP
469.43,175.5,10.48,12.92,303977,run1-wGAP
727.71,183.2,10.6,12.97,303930,run1-wGAP
603.3,174.8,10.78,12.66,303224,run1-wGAP
638.81,184.8,10.57,12.96,303036,run1-wGAP
333.91,164.4,10.22,12.48,302802,run1-wGAP
252.95,157.1,9.76,11.4,302773,run1-wGAP
364.59,164.3,10.26,12.55,302726,run1-wGAP
571.51,173.7,10.72,12.62,301846,run1-wGAP
403.63,170.8,10.18,12.32,301846,run1-wGAP
885.08,179.4,10.75,12.89,301068,run1-wGAP
458.78,174.1,10.39,12.64,301040,run1-wGAP
722.15,176.8,10.84,12.64,300875,run1-wGAP
386.36,167.3,10.41,12.51,300734,run1-wGAP
605.88,183.3,10.52,12.87,300466,run1-wGAP
340.74,163.2,10.24,12.52,299832,run1-wGAP
493.67,178,10.55,12.69,299664,run1-wGAP
231.68,154.6,9.66,11.5,299664,run1-wGAP
363.79,168.9,10.08,12.36,299427,run1-wGAP
372.54,165.6,10.12,12.46,299389,run1-wGAP
608.92,183.6,10.52,12.87,299144,run1-wGAP
267.62,158.3,9.55,11.64,299122,run1-wGAP
329.65,165,10.14,12.45,298891,run1-wGAP
656.07,181.2,10.68,12.97,298815,run1-wGAP
620.48,182.8,10.61,12.85,298509,run1-wGAP
374.38,169.7,10.08,12.38,298271,run1-wGAP
585.28,184.1,10.55,12.91,297783,run1-wGAP
277.11,160.1,9.68,11.88,297783,run1-wGAP
422.58,173.3,10.46,12.62,297317,run1-wGAP
303.15,163.9,9.84,11.8,297116,run1-wGAP
659.08,180.4,10.62,13.04,296806,run1-wGAP
223.81,154.9,9.7,11.43,296806,run1-wGAP
811.98,180.5,10.77,12.78,296448,run1-wGAP
378.59,172,10.44,12.61,296351,run1-wGAP
353.24,168,9.98,11.85,296351,run1-wGAP
272.19,158.6,10.02,12.2,296105,run1-wGAP
836.35,179.5,10.71,12.93,295819,run1-wGAP
350.13,167.8,9.83,11.89,295097,run1-wGAP
734,178.6,10.81,12.73,295066,run1-wGAP
638.83,180.3,10.69,12.75,294444,run1-wGAP
761.47,186.2,10.64,13.05,294278,run1-wGAP
373.71,168.9,10.32,12.57,294191,run1-wGAP
469.11,176.3,10.49,12.84,294133,run1-wGAP
549.14,176.2,10.78,12.63,293144,run1-wGAP
783.93,184.1,10.67,12.96,292640,run1-wGAP
317.33,164.2,10.17,12.51,292218,run1-wGAP
268.85,159.1,9.99,12.15,291886,run1-wGAP
244.2,155.8,9.73,12.07,291795,run1-wGAP
513.22,177.1,10.5,12.85,291718,run1-wGAP
410.75,170.4,10.37,12.64,291654,run1-wGAP
464.39,175.2,10.36,12.76,291486,run1-wGAP
289.34,162.7,10.22,12.43,291271,run1-wGAP
268.35,158.8,9.89,11.62,291056,run1-wGAP
227.27,154.1,9.68,11.43,291056,run1-wGAP
712.08,181.7,10.59,13.01,290450,run1-wGAP
305.53,164.4,9.85,11.91,290342,run1-wGAP
229.57,154.4,9.67,11.43,290116,run1-wGAP
257.83,158.1,9.97,12.14,289800,run1-wGAP
271.14,159.2,9.55,11.55,289632,run1-wGAP
646.45,179.7,10.73,12.7,289234,run1-wGAP
829.9,186.5,10.6,12.97,300777,run2-noGAP
709.1,186,10.58,12.92,310707,run2-noGAP
822.6,185.6,10.57,12.96,311053,run2-noGAP
962.7,185.3,10.67,13.04,311228,run2-noGAP
947.4,184.3,10.65,12.99,311096,run2-noGAP
806.4,184.3,10.63,12.96,310188,run2-noGAP
1109.9,183.9,10.71,12.94,309812,run2-noGAP
922.3,183.9,10.67,12.99,310767,run2-noGAP
980.2,183.8,10.71,12.95,310811,run2-noGAP
1016.4,183.7,10.72,12.96,309678,run2-noGAP
1026,183.6,10.7,12.97,310953,run2-noGAP
759.3,183.1,10.67,13.02,311298,run2-noGAP
967.7,182.9,10.67,12.93,312941,run2-noGAP
910.2,182.6,10.68,12.94,310039,run2-noGAP
707,182.3,10.64,12.8,310737,run2-noGAP
700,182,10.63,13.08,310681,run2-noGAP
820,181.5,10.67,13.1,310709,run2-noGAP
856,181.2,10.78,12.8,310629,run2-noGAP
683.2,181.2,10.66,13.08,309829,run2-noGAP
626.5,181.1,10.6,13.06,310571,run2-noGAP
793.2,181,10.91,12.69,311053,run2-noGAP
776.4,180,10.89,12.63,310635,run2-noGAP
773.9,180,10.76,12.78,309002,run2-noGAP
748.3,179.7,10.84,12.77,310759,run2-noGAP
747.9,179.6,10.8,12.7,310771,run2-noGAP
639.5,179.4,10.83,12.76,310234,run2-noGAP
541.3,179.2,10.58,12.86,310867,run2-noGAP
593.7,179,10.65,13,310953,run2-noGAP
500.5,178.5,10.55,12.84,310687,run2-noGAP
616.2,177.9,10.83,12.59,310705,run2-noGAP
583.3,177.6,10.83,12.57,310785,run2-noGAP
488.7,177.6,10.5,12.86,308871,run2-noGAP
723.2,176.4,10.83,12.59,310867,run2-noGAP
564.8,175.9,10.58,12.87,310503,run2-noGAP
636.8,175.4,10.74,12.72,310953,run2-noGAP
425.4,175.1,10.5,12.72,310426,run2-noGAP
408.1,175.1,10.5,12.72,309820,run2-noGAP
550.6,174.4,10.72,12.67,309792,run2-noGAP
462,174.4,10.44,12.88,309812,run2-noGAP
403.6,173.9,10.46,12.83,310977,run2-noGAP
456.3,173.2,10.51,12.74,310999,run2-noGAP
485.9,172.8,10.39,12.9,310607,run2-noGAP
443.8,172.8,10.38,12.85,310683,run2-noGAP
380.5,171.6,10.39,12.52,310659,run2-noGAP
376.7,170.9,10.41,12.56,311079,run2-noGAP
395.1,170.4,10.42,12.54,310733,run2-noGAP
353.8,170,10.4,12.51,310212,run2-noGAP
352.8,169.7,10.3,12.43,308707,run2-noGAP
348.7,169.3,10.34,12.75,308820,run2-noGAP
343.4,168.7,10.32,12.62,310759,run2-noGAP
393.2,168.5,10.49,12.64,310995,run2-noGAP
339.1,168.5,10.31,12.62,310737,run2-noGAP
339.5,168.2,10.36,12.55,310611,run2-noGAP
390,167.9,10.47,12.62,309618,run2-noGAP
330.2,167.9,10.25,12.63,310377,run2-noGAP
354.7,166.9,10.46,12.53,308707,run2-noGAP
312.4,166.7,10.32,12.57,310707,run2-noGAP
362.6,166.3,10.45,12.53,310785,run2-noGAP
303.5,165.5,10.28,12.55,310559,run2-noGAP
301.5,165.4,10.04,12.2,310545,run2-noGAP
299.3,164.9,10.05,12.18,311075,run2-noGAP
298.8,164.9,9.96,12.16,309530,run2-noGAP
294.9,164.4,10.17,12.5,310771,run2-noGAP
293.9,164.2,10.03,12.21,310731,run2-noGAP
291,164.1,10.02,12.23,310607,run2-noGAP
299.5,163.1,10.25,12.47,310254,run2-noGAP
285.7,162.5,9.88,12.21,310083,run2-noGAP
292.7,162.4,10.23,12.47,310495,run2-noGAP
285.1,161.9,10.24,12.35,309436,run2-noGAP
282.4,161.2,10.22,12.33,310759,run2-noGAP
277.1,161,10.07,12.44,310661,run2-noGAP
279.9,160.7,10.26,12.44,310847,run2-noGAP
272.3,160.5,10.23,12.37,310977,run2-noGAP
268,160.2,10.14,12.4,310771,run2-noGAP
269.2,160,10.19,12.31,310495,run2-noGAP
267.6,159.7,10.07,12.07,309618,run2-noGAP
273,159.4,10.21,12.4,310531,run2-noGAP
256.5,159.4,10.2,12.42,310641,run2-noGAP
