,RunID,interc_ET,slope_ET,interc_Q,slope_Q,interc_Sed,slope_Sed,model
1,24100001,3345.632811,-1.228970858,353.5369225,-0.14231671,7.213434435,-0.003401112,CNRM_CM5_RCP45
2,24100002,-106.0596253,0.149451996,-4.906086911,0.002880411,-0.290150464,0.000160739,CNRM_CM5_RCP45
3,24100003,1562.191176,-0.443288428,-8.209394249,0.004139904,-0.060151163,3.02E-05,CNRM_CM5_RCP45
4,24100004,1347.427377,-0.337212802,-1.458251547,0.000742386,-0.000572441,2.85E-07,CNRM_CM5_RCP45
5,24100005,1774.096057,-0.406433436,-29.70060869,0.022163562,-0.121155216,6.40E-05,CNRM_CM5_RCP45
6,24100006,2055.908345,-0.700748412,-33.34092094,0.017291765,-0.128372307,6.57E-05,CNRM_CM5_RCP45
7,24100007,2388.910274,-0.773611147,133.6433369,-0.050723865,1.058438227,-0.000427471,CNRM_CM5_RCP45
8,24100008,2460.784593,-0.808090865,405.5408757,-0.157699145,-0.793130134,0.000449391,CNRM_CM5_RCP45
9,24100009,2836.580118,-0.986815821,410.0149881,-0.158932737,-1.265800602,0.000904087,CNRM_CM5_RCP45
10,24100010,4900.038017,-2.120331837,-4.072359198,0.002064714,-0.031822153,1.60E-05,CNRM_CM5_RCP45
11,24100011,633.8609412,0.052331423,109.5844655,-0.017593962,0.538632137,1.39E-05,CNRM_CM5_RCP45
12,24100012,652.9445362,0.039041631,119.2455841,-0.023519751,1.235195299,-0.000320466,CNRM_CM5_RCP45
13,24100013,2412.992362,-0.791609347,-23.19656185,0.01192481,-0.029297415,1.50E-05,CNRM_CM5_RCP45
14,24100014,1579.857323,-0.471187405,138.7312976,-0.05266548,0.948773889,-0.000400201,CNRM_CM5_RCP45
15,24100015,2350.05098,-0.748139194,4.123665372,0.002292392,-0.051588551,3.29E-05,CNRM_CM5_RCP45
16,24100016,2911.997853,-1.029118946,417.0025471,-0.162450548,0.318228673,-0.000108872,CNRM_CM5_RCP45
17,24100017,1576.639953,-0.362296143,177.2340689,-0.048280037,1.290827324,-0.000594449,CNRM_CM5_RCP45
18,24100018,1138.534166,-0.17801965,5.695940919,-0.001870477,0.071497009,-3.16E-05,CNRM_CM5_RCP45
19,24100019,-1236.923478,1.105086371,-32.32600442,0.016794734,-0.245704849,0.0001268,CNRM_CM5_RCP45
20,24100020,-2323.17238,1.688333413,-13.82844857,0.007049463,-0.007840014,3.99E-06,CNRM_CM5_RCP45
21,24100021,7054.108545,-2.812490122,1.757520843,-0.000528047,-0.000435022,3.24E-07,CNRM_CM5_RCP45
22,24100022,-1834.211077,1.478684498,-23.37204655,0.012220326,-0.12840571,6.47E-05,CNRM_CM5_RCP45
23,24100023,458.8086435,0.286559347,-10.74605457,0.005665368,-0.098654377,5.08E-05,CNRM_CM5_RCP45
24,24100024,510.0360847,0.504411443,-10.30274484,0.005592923,0.103716355,-4.91E-05,CNRM_CM5_RCP45
25,24100025,798.7938166,0.090321333,-5.535624804,0.003707821,0.105355434,-4.89E-05,CNRM_CM5_RCP45
